"FOREST ELF MALE"
{
"Kygyl Thundershadow"
"Selaenul Oceanscribe"
"Y'laen Bearsword"
"Fadean Skyweaver"
"Mydranaal Stillwatcher"
"Delidan Summermoon"
"Radaar Ambershade"
"Denanon Greensky"
"Alleth Oceanfeather"
"Anallaeth Raincrest"
"Fyleaith Ravenwater"
"Ilydreas Treeflower"
"Mathealaeth Silentheart"
"Reldas Woodscribe"
"Erediss Dewsnow"
"Zanar Stoneleaf"
"Cereldel Lightthorn"
"Eros Stagsnow"
"Eyleath Starshot"
"Nylegorn Truebreath"
"Aylaen Bladestalker"
"Ameth Fogcloud"
"Zaressian Swiftgrove"
"Faradolar Treethorn"
"Mydralin Evengrove"
"Olaine Fogbreeze"
"Raelidan Skyweaver"
"Maraeth Wildspirit"
"Illealar Dewsky"
"Nylaleas Lightspyre"
"Ilyrae Lunamight"
"Ylellor Moonswift"
"Fahvoris Featherseeker"
"Evethis Stillfeather"
"Cereldon Seaweaver"
"Pellais Sunarrow"
"Filaenas Leaflance"
"Y'leass Autumnleaf"
"Thanath Dewwind"
"Eraelas Evenlight"
"Selidan Dewtree"
"Anon Silentmight"
"Teladris Trueshade"
"Malron Wintertree"
"Zadoril Moonblade"
"Haltharion Beardew"
"Ledraen Windlight"
"Matharion Bluestriker"
"Legorn Bladeshade"
"Milaeith Nightlight"
"Ralian Strongsnow"
"Aldor Ravendew"
"Fathis Amberheart"
"Kadaran Dawnwater"
"Gaedris Wildheart"
"Silellor Seaspear"
"Kaedarn Ambershade"
"Nilaenas Rainsong"
"Shylealaeth Ravenspyre"
"Alydries Mooneye"
"Bhalran Skybloom"
"Pelnaal Lunastrike"
"Silros Stonemane"
"Valneth Strongsnow"
"Gerdaar Strongdew"
"Elengyl Woodcrest"
"Nythallaes Blackwalker"
"Asaellath Summerwalker"
"Thalleas Seawalker"
"Kydrieth Stormlight"
"Khalar Moondancer"
"Erevoris Skygazer"
"Fothidan Leafgazer"
"Pelvine Spiritfeather"
"Alaressian Forestshadow"
"Mythallaeth Rainfeather"
"Sygyl Windlight"
"Uyrae Strongscribe"
"Thedran Spiritgrove"
"Thyladearn Silentflower"
"Tarol Moonsong"
"Faranol Rapidgazer"
"Kharthannius Evenwind"
"Ofran Silentbranch"
"Cyndaar Woodwater"
"Melorean Nightbreeze"
"Ugyael Skyrage"
"Yllarion Evenbow"
"Nythaelorn Shieldbranch"
"Shelean Summerfire"
"Alenar Autnmwind"
"Gardron Woodstrike"
"Ceredon Forestbreeze"
"Sildon Bladeblower"
"Dendaan Silverstrike"
"Redraeth Windbough"
"Theleth Windscribe"
"Salean Nightwind"
"Wadran Oceanoak"
"Mathallaeth Raincaller"
"Dalomon Stillsky"
"Orenfran Autumnblower"
"Haldant Dawnsinger"
"Kedryn Starsnow"
"Illad Stormleaf"
"Filelir Forestgazer"
"Wadran Spiritfeather"
"Aysaem Leaffeather"
"Iwen Blueweaver"
"Shanrus Dawnwatcher"
"Feldaron Lightshadow"
"Bengorn Seaoak"
"Seladan Lightweaver"
"Kadaran Truesnow"
"Kharthras Dawnstrike"
"Melaellorn Forestsinger"
"Emalleas Spiritgrove"
"Iyleass Ravenspear"
"Hanrus Duskbough"
"E'nrus Moonbow"
"Taldiss Windrunner"
"Celar Stonefire"
"Selrin Fogshade"
"Fodiir Strongrage"
"Danrus Leafscribe"
"Sylanelle Bearmoon"
"Farion Featherswift"
"Filaenul Thundergazer"
"Selannul Stronggrove"
"Sylaleas Shieldspear"
"Bolressian Wintergazer"
"Alenas Nightrage"
"Badrol Ravenbreeze"
"Charannul Stormforest"
"Mydrathannius Strongcaller"
"Kyraeth Strongcaller"
"Yrae Sunwater"
"Filaeleas Feathercrest"
"Uygyl Amberseeker"
"E'dren Summercrest"
"Ereressian Silverfeather"
"Melathas Sagethorn"
"Ylidoril Wildshot"
"Endaron Bluesky"
"Arnados Bluegrove"
}

"FOREST ELF FEMALE"
{
"Jilaei Windrage"
"Kylaei Woodspyre"
"Kelora Bladewalker"
"Eyliene Oceandew"
"Shyleasa Swiftblower"
"Lanriana Windrunner"
"Marrisse Truecrest"
"Merelyia Lightlight"
"Serilyia Skytree"
"Malinia Summereye"
"Enaelas Woodbreath"
"Nis'ta Stillforest"
"Jadrieth Shadebreeze"
"Filallas Evencrest"
"Mylarii Bearshadow"
"Salysia Autumnwatcher"
"Sere Lunabreeze"
"Aethanar Skyspear"
"Sisha Silvertree"
"Meresina Duskspear"
"Theleanna Evenleaf"
"Selindea Leafblower"
"Nythethis Truegazer"
"Kynysae Starsword"
"Mylaleas Winterspirit"
"Elenriale Thunderthorn"
"Aarenna Wildwalker"
"Alarynn Strongstriker"
"Fyreriia Oceanbreath"
"Sedri Shadewatcher"
"Shaelas Woodshot"
"Wedreath Stormflower"
"Illene Leaftree"
"Adraeth Foggazer"
"Felilleath Summercrest"
"Denna Bladearrow"
"Lelalyia Bladebow"
"Lenlah Thundereye"
"Daelanea Darkhelm"
"Lenlyia Truebreeze"
"Lilaeith Swiftsinger"
"Ucina Farcloud"
"Lalia Fogfire"
"Filaesa Skylight"
"Arindea Bearswift"
"Lenya Leafbow"
"Lilathil Starbreeze"
"Cemai Silentspyre"
"Celyssa Bladewater"
"Liladrieth Mistspirit"
"Thylia Fogcrest"
"Lelia Winterstar"
"Keleath Starshade"
"Sylora Farsnow"
"Aynysea Rapidclouds"
"Llalea Mistseeker"
"Astanar Swiftcloud"
"Aila Sagestrike"
"Fyreliynn Fartree"
"Rhyre Skysong"
"E'cina Rainrage"
"Shen'ra Silentscribe"
"Illanaes Evenspear"
"Alyhara Sunwing"
"Warai Truescribe"
"Idrialyssa Autumnflower"
"Faelais Greenweaver"
"Vivimai Bladewing"
"Elesia Autumnbranch"
"Kyriia Raincaller"
"Asilaeth Stonestalker"
"Yenya Bladeblade"
"Lalora Swifthelm"
"Emaesa Stagswift"
"Wyura Skymight"
"Lyvaria Ravenblower"
"Velrynn Stagrage"
"Nyrilas Swiftlance"
"Lariala Duskdew"
"Teslia Stagleaf"
"Illeaith Bladestar"
"Asaenea Stonestalker"
"Liladya Evenclouds"
"A'laea Forestswift"
"Iynyssae Oceanswift"
"Lenne Mossshot"
"Alanteran Treeshot"
"Aeda Lighteye"
"Ilyeriana Truegazer"
"Selvanna Bluearrow"
"Fylaenia Evensky"
"Facina Lunabreath"
"Selanelle Mosscloud"
"Ilaenas Dewsong"
"Ethea Truecloud"
"Dantaria Stagcaller"
"Synaya Spirittree"
"Byadira Bearmane"
"Rhyma Stormfeather"
"Saesina Nightbloom"
"Lilaellas Autumntree"
"Yysae Autumnlight"
"Malaes Dusklance"
"Fylaenya Stagspirit"
"Eraeleas Feathersky"
"Faeliynn Ravensinger"
"Relma Wolfsong"
"Byavanna Windblower"
"Vinanasha Stillgrove"
"Alaistra Woodpecker"
"Nalea Woodscribe"
"Kalas Wintersnow"
"Naraei Thunderthorn"
"Kadriel Rainwind"
"Helia Stormgrove"
"Rhyralyn Dawnspyre"
"Ryshia Summercaller"
"Duldrieth Sagesky"
"Sanran Shadowblade"
"Byadia Greeneye"
"Selyssa Bearheart"
"Cywen Seaspyre"
"Nythyssea Evenweaver"
"Galaedya Winterfeather"
"Shaliene Ravenflower"
"Irlas Evenmoon"
"Vesia Greenbough"
"Ryda Oceandew"
"Rylania Bearweaver"
"Vela Bearbranch"
"Therai Farmane"
"Elercia Autumnshadow"
"Wenyssea Shieldswift"
"Hyraeth Bladeshadow"
"Helora Shademoon"
"Marnea Strongtree"
"Shalre Sagescribe"
"Kethea Strongstalker"
"Lelarena Amberfire"
"Serialais Foglight"
"Nyssea Stormspear"
"Iynysae Forestsky"
"Naria Swiftspyre"
"Mythillaeth Starbow"
"Shalias Starwind"
"Amalara Stilllance"
"Avalanea Blademoon"
"Sildarin Woodflower"
"Meldanair Stoneblower"
"Selalenai Leafseeker"
}

"FOREST ELF ENT"
{
"Nettlebeard"
"Scorchbirch"
"Cedarshade"
"Hardcherry"
"Yewwood"
"Elmcrown"
"Scorchedroot"
"Splintpeach"
"Cherrybramble"
"Oaklock"
"Birchspur"
"Oakenskin"
"Ashspine"
"Walnutcrown"
"Autumntrunk"
"Meanpine"
"Oakspine"
"Clevermaple"
"Oakenhowl"
"Taintedspur"
"Pygmylegs"
"Firbrow"
"Silenthazel"
"Wildelm"
"Pygmytalon"
"Aldertalon"
"Taintwalnut"
"Cypressgrove"
"Peachhusk"
"Maplelimb"
"Pygmypoplar"
"Mellowfir"
"Yewneedle"
"Ironleaf"
"Tenderlocust"
"Pinestalk"
"Algalfir"
"Cedarhowl"
"Firflower"
"Hazelblossom"
"Scorchedtwig"
"Oakenshrub"
"Barrentalon"
"Acornhowl"
"Oakenthorn"
"Gentleelm"
"Burnedash"
"Mildalder"
"Aldertooth"
"Ashgrowl"
"Hazeleye"
"Mildacorn"
"Kindtree"
"Peachsplint"
"Burnlimb"
"Birchtwig"
"Willowclaw"
"Blackpoplar"
"Autumnjuniper"
"Cedarthorn"
"Mildnut"
"Junipershadow"
"Sprucetooth"
"Thistlefury"
"Tenderhusk"
"Meanjuniper"
"Charredtrunk"
"Silentyew"
"Mildpine"
"Algaltalon"
"Yewstalk"
"Maplesprout"
"Pygmystump"
"Hazeltwig"
"Birchflower"
"Maplecovert"
"Baresprout"
"Juniperstand"
"Spruceflower"
"Mildhazel"
"Meanpine"
"Mellowcherry"
"Cruelyew"
"Acorntip"
"Oaksprout"
"Elmshrub"
"Meannut"
"Scorchedherb"
"Scorchedtalon"
"Juniperstand"
"Cherrystub"
"Yewscar"
"Wildpoplar"
"Sharplegs"
"Walnutsprout"
"Yewsplinter"
"Kindherb"
"Dwarfthorn"
"Poplarwood"
"Vinespur"
"Beechspur"
"Aldershadow"
"Algaltwig"
"Sharpelm"
"Autumnwalnut"
"Cedarwood"
"Cypresscopse"
"Charredpoplar"
"Ironlegs"
"Peachbellow"
"Barelegs"
"Larchbramble"
"Oaksprout"
"Aldertwig"
"Juniperpad"
"Cypressbeard"
"Peachshell"
"Crueltendril"
"Kindalder"
"Yewflesh"
"Graylimb"
"Scorchspruce"
"Wildtwig"
"Walnutsplint"
"Cunninglimbs"
"Larchherb"
"Oakstalk"
"Softpoplar"
"Acorngrowl"
"Dwarfherb"
"Barrenblossom"
"Vinesprout"
"Birchtooth"
"Winterblossom"
"Summerwalnut"
"Peachroot"
"Walnutskin"
"Tenderpeach"
"Maplescar"
"Larchstub"
"Thistlestub"
"Aldersprout"
"Yewnettle"
"Alderbramble"
"Mildacorn"
}

"DARK ELF MALE"
{
"Ersheno Ogarsa"
"Chidepe Oshro"
"Grorniss Wenezu"
"Qhiruha Nusaerleec"
"Teny Rezru"
"Hilroci Shrodizrain"
"Drukros Verunoth"
"Rhorephna Yaemrudur"
"Osalro Ghiervosh"
"Nobsiru Maidesre"
"Gophnuro Dhandas"
"Dhupofro Kegoc"
"Ienoh Ghunagu"
"Ruinduin Urdinae"
"Thaincar Krosenid"
"Nynve Ghunec"
"Roderho Maemrudeil"
"Brulryss Dhunorthac"
"Drailveth Krirdeir"
"Teglass Bhonaset"
"Gubzou Kroshrel"
"Rocnaess Craimror"
"Insope Esrud"
"Braithred Theebeistrut"
"Lobnose Zoraeldraish"
"Rhilrak Zonros"
"Iemna Shriesrere"
"Amno Barthaezith"
"Bhikshipu Zaniushre"
"Dhendedh Gharziad"
"Tonzess Khebordroth"
"Isicsa Mondec"
"Phonuphni Zumeildas"
"Tubser Kuldeth"
"Anzebu Dhonde"
"Idvima Thagorath"
"Zaecel Merdimoc"
"Othic Cragnesh"
"Emulne Crangurae"
"Tabzid Wairdis"
"Ulvu Zera"
"Mescoho Chonas"
"Gidribi Ugeis"
"Buikzih Khersiro"
"Ykiss Vezod"
"Fimi Khareined"
"Munzarn Peisail"
"Any Samina"
"Ihudi Phasrugi"
"Ancu Dhazid"
"Kignoss Dribizot"
"Iemlodh Pazirdrah"
"Camzyk Ovnaer"
"Ghobullu Mozanrosh"
"Numrydh Sadro"
"Agnou Paersot"
"Rhesacse Khialnizah"
"Bhothryl Ralreman"
"Chimruce Ghustrod"
"Invuro Irve"
"Qidhonu Usieldo"
"Ubrame Zerdel"
"Kelmoss Mugiuth"
"Rhudne Uzronid"
"Zulvykh Daingamac"
"Grommuirn Crelvi"
"Inuphu Vendru"
"Bidopi Bharziudo"
"Ilriha Khastrad"
"Beshracu Vezis"
"Acliess Khidogric"
"Undada Sasredot"
"Ehimi Delvaeguc"
"Retril Gierlih"
"Urarho Khanguh"
"Beseru Sozrod"
"Dobnube Ozronot"
"Derubi Zendaic"
"Dhulgurth Criarlar"
"Dakzok Vubavnan"
"Phaphnisa Shirthin"
"Rheknici Gazrac"
"Umril Ramo"
"Tolmurn Bhonga"
"Ishrabu Gino"
"Vynvoh Ghugoldec"
"Briornith Sheebaengush"
