# Villains for evil keepers
{
    # Line goes like this:
    # ViewId EnemyId Villain-name Villain-type
    { "ancient_reddragon" } "DRAGONS" "Greater dragon nest" MAIN
    { "red_dragon" Rgb 80 80 80 255 } "BLACK_DRAGON" "Black dragon" MAIN
    { "amazon_queen" } "AMAZONS" "Amazons" MAIN
    { "centar_king" } "CENTAURS" "Centaurs" MAIN
    { "armored_cow_demon" } "COW_DEMONS" "cow demons" MAIN
    { "adoxie_head" } "ADOXIE_HEAD" "Adoxie, Dark one" MAIN
    { "hell_portal" } "HELL_PORTAL" "Hell portal" MAIN
    { "magic_fairy" } "FAIRIES" "Fairies" MAIN
    { "duke4" } "KNIGHTS" "Knights" MAIN
    { "elf_lord" } "ELVES" "Elves" MAIN
    { "dwarf_baron" } "DWARVES" "Dwarves" MAIN
    { "elementalist" } "ELEMENTALIST" "Elementalist" MAIN
    { "lizardlord" } "LIZARDMEN" "Lizardmen" MAIN
    { "necromancer" } "UNDEAD_SETTLEMENT" "Necromancer abode" MAIN
    { "shaman" } "WARRIORS" "Warriors" MAIN
    { "demon_lord" } "DEMON_DEN" "Demon den" MAIN

    { "gorgon" } "GORGON_CULT" "Cult of Gorgon" LESSER
    { "male_lion" } "LION_PRIDE" "Pride of Lions" LESSER
    { "rat_king" } "RATMEN" "Rat men" LESSER
    { "ent" } "ENTS" "Tree spirits" LESSER
    { "driad" } "DRIADS" "Driads" LESSER
    { "cyclops" } "CYCLOPS" "Cyclops" LESSER
    { "shelob" } "SHELOB" "Giant spider" LESSER
    { "hydra" } "HYDRA" "Hydra" LESSER
    { "unicorn" } "UNICORN_HERD" "Unicorn herd" LESSER
    { "ant_queen" } "ANTS_OPEN" "Ants" LESSER
    { "zombie" } "CEMETERY" "Zombies" LESSER
    { "vulturemutation" } "VULTURE_ABOMINATIONS" "Abominations" LESSER
    { "ocean_portal" } "OCEAN_PORTAL" "Ocean Portal" LESSER
    { "goblin_king" } "GOBLIN_KING" "Goblin King" LESSER

    { "unknown_monster" } "OGRE_CAVE" "Unknown" ALLY
    { "unknown_monster" } "HARPY_CAVE" "Unknown" ALLY
    { "unknown_monster" } "SOKOBAN" "Unknown" ALLY
    { "dark_elf_lord" } "DARK_ELVES_ALLY" "Dark elves" ALLY
    { "gnome_boss" } "GNOMES" "Gnomes" ALLY
    { "orc_captain" } "ORC_VILLAGE" "Greenskin village" ALLY
}

# Villains for lawful keepers
{
    { "adoxie_head" } "ADOXIE_HEAD" "Adoxie, Dark one" MAIN
    { "hell_portal" } "HELL_PORTAL" "Hell portal" MAIN
