"HALFLING_MALE"
{
"Quowan proudhill"
"Oripher glenhand"
"Goric whispertop"
"Sanyas springfeet"
"Yarric goldcrest"
"Xolos mistmoon"
"Nerich softdance"
"Ostran clearvale"
"Yenorin moonfinger"
"Yenric smoothflow"
"Perkin highcrest"
"Sanos ferndream"
"Linnan elderhare"
"Sharwan cloudbarrel"
"Anvias softheart"
"Jowrick leafeye"
"Janpos truedancer"
"Panner wildbraid"
"Wenwan shadowwhistle"
"Marlan leavale"
"Finmo laughingfingers"
"Sandak brightseeker"
"Pertran summerpot"
"Gartran tossflower"
"Xanyver rumblebough"
"Finlan copperstep"
"Corbin autumneyes"
"Tarzor cloudbeam"
"Lavon twilightbrook"
"Yarry quickwater"
"Idobul shadowwater"
"Quindal goldpot"
"Merbul stoutbridge"
"Elkin softhands"
"Perton greatfingers"
"Andal cloudsong"
"Barvias flintspell"
"Laric glowbraid"
"Sharkas tossbranch"
"Sanumo humblehollow"
"Linner glenfoot"
"Belsire springcobble"
"Vinorin mistleaf"
"Tarpos greenbraid"
"Erfire autumnfellow"
"Martran brightglide"
"Falret whisperhare"
"Danorin brambleseeker"
"Lineon leafbrush"
"Davyas nimbledance"
"Perrin goldbarrel"
"Zenemin marblehollow"
"Yendal fastbridge"
"Baros grandace"
"Wenfire boulderrabbit"
"Yarkas bigshine"
"Wenfire cloudwhistle"
"Sharlan glowdance"
"Eramin fatspirit"
"Xanfire tallgrove"
"Pimfer littlesun"
"Garnan warmstep"
"Yenpos coppermoon"
"Ertran deephollow"
"Fineon underbeam"
"Wenser dustearth"
"Xanmo tallvale"
"Merras stoneeyes"
"Lafire thorngrove"
"Oribul strongwind"
"Elnad leabarrel"
"Janhace goldsurge"
"Tevon littlebranch"
"Perdal silverwind"
"Ulzin emberbelly"
"Flynwrick thornbrush"
"Ertran glowbeam"
"Falmin marblewood"
"Korver eartheye"
"Zenvon grassstep"
"Quindal moonbluff"
"Rihace smoothwater"
"Barnad bigvale"
"Laumo goldmouse"
"Gohace fatspell"
"Idolos lighthollow"
"Irayver laughinglade"
"Sanbul mistflower"
"Linyas underbridge"
"Xanric stonebrace"
"Irafer amberpot"
"Davfer silentfeet"
"Barorin wisemoon"
"Yenbul greatfound"
"Tevon goodsun"
"Lary truedew"
"Vinmo summerbluff"
"Falry hogwoods"
"Idodak dustshadow"
"Urisire heartstep"
"Conbul moonwhistle"
"Finzin heartbrush"
"Quomo glenmouse"
"Wenkas commonhands"
"Normin thistlefeet"
"Horvias silentgather"
"Davmo fastfellow"
"Jolan lighthill"
"Quorin hogbrace"
"Danyas leaberry"
}

"HALFLING_FEMALE"
{
"Weldrey swiftleaf"
"Xiwyn softheart"
"Belmita ravenrabbit"
"Zefmia elderbrace"
"Yotrix bigbarrel"
"Versys marblespell"
"Qiri thornbranch"
"Arirana lonefingers"
"Xigwen barleywoods"
"Jaywyse thistlesky"
"Trynni silentflow"
"Kelmita grasswater"
"Lemita grandkettle"
"Welhaly softbluff"
"Qufira prouddream"
"Froris heartleaf"
"Gelris dusteye"
"Eobrix bronzebranch"
"Paemita hillmoon"
"Hanys bigmane"
"Welsys mossheart"
"Frovira highmane"
"Jayris humblefinger"
"Yojen glenspirit"
"Fenmita hillfeet"
"Gelcaryn rumbleflower"
"Diafice fogbrace"
"Eori freemantle"
"Qivyre lightstride"
"Rina wildlade"
"Grane truefellow"
"Roselle stonekettle"
"Kelkis nightdancer"
"Sylbrix coppereye"
"Darvira hogfeet"
"Ricaryn commonseeker"
"Vermita autumneyes"
"Orana shadowflow"
"Darni mildleaf"
"Zefmita highgather"
"Zenna strongfound"
"Roslile quickeye"
"Qutina stonecrest"
"Belni littlewhistle"
"Belara cherrytopple"
"Thamlie tallfinger"
"Erawyn heartcloak"
"Maltrix swiftfellow"
"Therbyn tossbranch"
"Havyre embersong"
"Beltina shadoweyes"
"Witrix tendance"
"Marda goodblossom"
"Therwyn boulderbrook"
"Rosvyre ravenbough"
"Gelsys laughingcobble"
"Qiula leafpot"
"Gelree fogspirit"
"Elidove springseeker"
"Maralyn glenhands"
"Hilwyn glenmouse"
"Kithfira smoothwind"
"Faygrace thornglide"
"Malora lightbloom"
"Kellyse freeeye"
"Maeris fastshine"
"Eisira rosespark"
"Chenvyre ravenhollow"
"Kelyola rumblebraid"
"Neeni riverhand"
"Marda swiftbrace"
"Diacey fernmeadow"
"Qini thornsun"
"Vayra twilightace"
"Jayris wisebelly"
"Darara summerpot"
"Gragrace underbarrel"
"Jaykath freekettle"
"Eifice earthwind"
"Hayola ravenblossom"
"Marlyse wildcrest"
"Bredrey earthstride"
"Hilyola rivereye"
"Gelrana fernkettle"
"Chenmia stonebrand"
"Martina hogfeet"
"Darsica softearth"
"Leola commonfingers"
"Isacaryn applehollow"
"Tryncaryn whispertop"
"Qicaryn ambermeadow"
"Tryntina whispercrest"
"Hilvira clearbranch"
"Eliora earthwillow"
"Thamne loneshadow"
"Tryneni copperbloom"
"Zefzana foreberry"
"Lezira stillhare"
"Wilile wildcloak"
"Isaola stoneeye"
"Yeszira fernbarrel"
"Eitina lightbrand"
"Arirana thistledancer"
"Saprys grassmantle"
"Zenwyse clearkettle"
"Paelile duststride"
"Verzana leafberry"
"Jaylienne whisperace"
"Erawyn deepdew"
"Gelgrace brambleearth"
}
