"JAPANESE_MALE"
{
"Kunieda Junnosuke"
"Arashiro Takamori"
"Shimada Masashi"
"Shoda Tatsui"
"Jissoji Inejiro"
"Umezawa Kanbe"
"Tsujii Isoruko"
"Yasui Jo"
"Chinen Genjo"
"Seo Motoichi"
"Hashimoto Ikki"
"Sanda Tsuruki"
"Izuhara Tadashi"
"Otonari Takeji"
"Kano Hidetoshi"
"Kitamura Hiroshige"
"Asa Kadonomaro"
"Ogasawara Seiho"
"Yasunaga Sachi"
"Uzumaki Naruto"
"Uzumaki Ashina"
"Uzumaki Menma"
"Uzumaki Nagato"
"Uzumaki Naruto"
"Hatake Kakashi"
"Hatake Sakumo"
"Hyuga Neji"
"Hyuga Hiashi"
"Hyuga Hoheto"
"Hyuga Iroha"
"Hyuga Hizashi"
"Hyuga Himawari "
"Uchiha Sasuke"
"Uchiha Itachi"
"Uchiha Madara"
"Uchiha Hikaku"
"Uchiha Inabi"
"Uchiha Hikaku"
"Uchiha Shisui"
"Uchiha Obito"
"Michizoe Giichi"
"Igarashi Yamato"
"Okada Tetsunori"
"Enokida Fujimaro"
"Furuya Junji"
"Tengan Shirosama"
"Ishibashi Takanobu"
"Tanifuji Fumihiko"
"Tokugawa Shimei"
"Domoto Maresuke"
"Nishiyama Kuri"
"Tomita Hirofumi"
"Rai Mokichi"
"Matsubara Mushanokoji"
"Kanai Ikki"
"Okura Toyoshige"
"Edamitsu Toshikazu"
"Yanagi Hideaki"
"Gushiken Mareo"
"Yakumo Kimi"
"Yabe Taisuke"
"Yukiyama Masakado"
"Ikehata Montaro"
"Nonaka Kohei"
"Miyaguchi Tobei"
"Konishi Kyoden"
"Mano Bussho"
"Momoi Bunjiro"
"Akahoshi Shuichi"
"Yamashita Tetsuo"
"Mano Honzo"
"Kida Takuma"
"Wakaizumi Eikichi"
"Oda Nobunaga"
"Oda Mikiko"
"Oda Hidetaka"
"Oda Sakunosuke"
"Tamaki Kane"
"Miyahara Sanraku"
"Hanamura Shuko"
"Akiya Shinzo"
"Sasagawa Yohachi"
"Kase Kane"
"Yanagimoto Saneatsu"
"Jissoji Taki"
"Suou Suezo"
"Sasaki Dai"
"Hatanaka Yujiro"
"Saito Norio"
"Yoshii Tsutomu"
"Utsunomiya Ryobe"
"Ide Sanetomo"
"Araya Sanjiro"
"Sunada Kenjiro"
"Hamamoto Katsunan"
"Ichioka Heihachiro"
"Suga Hiroyuki"
"Akiya Takafumi"
"Miyasaki Hachigoro"
"Suko Ebizo"
"Mizushima Toshitsugu"
"Kotobuki Kei"
"Chikanari Sanjiro"
"Okawa Gempachi"
"Agano Monzaemon"
"Nakagome Tomokazu"
"Kubota Morimasa"
"Hiruma Hokichi"
"Noguchi Keitaro"
"Banno Kenji"
"Yokouchi Yasuhiko"
"Suzuki Nobuhiko"
"Konya Ryobe"
"Kudo Kojiro"
"Jinnouchi Hyotaru"
"Date Haruki"
"Kanno Kazuo"
"Jo Shinsui"
"Handa Naoko"
"Fukasawa Jin"
"Yukawa Kojiro"
"Takishima Shumei"
"Hiraoka Chojiro"
"Takeuchi Yajirobei"
"Tsuda Takesi"
"Suto Koto"
"Yanai Seishisai"
"Imari Takuro"
"Kasai Toshiro"
"Endo Takeru"
"Yamamuro Gaho"
"Mino Mashai"
"Murai Takehide"
"Nara Rai"
"Sumida Naomichi"
"Nishikawa Yakumo"
"Asano Akeno"
"Sakamoto Ryoma"
"Shotoku Taishi"
"Kobo Daishi"
"Tokugawa Ieyasu"
"Sakamoto Ryoma"
"Shimizu Shirai"
"Chijimatsu Yoshitomo"
"Minamoto Dayu"
"Higuchi Norishige"
"Iwamoto Yoshiaga"
"Uehara Kantaro"
"Nakayama Tsuneyo"
"Edano Raidon"
"Muranaka Taysuke"
"Ishido Kyoshi"
"Yoshihama Isei"
"Kawai Yoshihide"
"Urushido Niou"
"Muto Tetsuyuki"
"Minami Kimi"
"Muranaka Horiuchi"
"Konuma Nobuhisa"
"Ogata Hidetada"
"Arashiro Munemitsu"
"Chikae Keiki"
"Aoki Ukon"
"Shimamura Seibei"
"Yamada Sorai"
"Ejiri Izumo"
"Uranishi Masamune"
"Kuwahara Konyo"
"Aoi Shiro"
"Noguchi Yasuoka"
"Yūki Yakumo"
"Yodogawa Soshitsu"
"Higurashi Inuyasha"
"Inu Inuyasha"
"Kazaana Miroku"
"Kazaana Kohaku"
"Himura Naoaki"
"Gushiken Kiyoshi"
"Yashiro Kikugoro"
"Nagao Shiba"
"Wakasugi Naoaki"
"Nakagawa Tanzan"
"Tsuga Yasuhiko"
"Uyeno Rai"
"Yagi Ryo"
"Aozora Tadayoshi"
"Morikawa Hachigoro"
"Wakaizumi Sessue"
"Miyaguchi Botan"
"Uesato Taro"
"Nagase Kyuso"
"Umeki Nori"
"Imai Sozen"
"Yakumo Yoshimochi"
"Ikari Jo"
"Mizusawa Kageyasu"
"Hayashida Hiro"
"Kobe Korin"
}

"JAPANESE_FEMALE"
{
"Kazaana Sango"
"Uzumaki Karin"
"Uzumaki Ashina"
"Uzumaki Kushina"
"Izunuka Akita"
"Izunuka Mimi"
"Izunuka Hana"
"Hyuga Hinata"
"Hyuga Hanabi"
"Uchiha Izumi"
"Uchiha Sarada"
"Oda Sakura"
"Higurashi Kagoke"
"Higurashi Kikyo"
"Higurashi Towa"
"Higurashi Kaede"
"Inu Sesshomaru"
"Mochizuki Chika"
"Kashiwagi Yo"
"Yutani Shizu"
"Hasegawa Nikki"
"Tsujii Misako"
"Kano Mami"
"Zakaza Rise"
"Ouji Mizuki"
"Nobira Toshi"
"Tsutsui Sawako"
"Mita Hisako"
"Nagata Kai"
"Umon Tamami"
"Fukui Haniko"
"Morihei Amari"
"Miyata Kimie"
"Hirano Mayoko"
"Imaeda Oki"
"Ota Itsuko"
"Fujimoto Tamiyo"
"Hayabusa Wami"
"Morihei Wakaba"
"Sumisu Namika"
"Hamada Hoshie"
"Akagi Hanako"
